ID X PCODE,Label
LSEC1ZJ X JZ9D,1
LSEC1ZJ X J9JW,0
LSEC1ZJ X GHYX,0
LSEC1ZJ X ECY3,0
EK65KRH X P5DA,0
EK65KRH X RIBP,0
EK65KRH X 8NN1,0
EK65KRH X 7POT,0
EK65KRH X 66FJ,0
EK65KRH X GYSR,0
EK65KRH X SOP4,0
EK65KRH X RVSZ,0
EK65KRH X PYUQ,0
EK65KRH X LJR9,0
EK65KRH X N2MW,0
EK65KRH X AHXO,0
EK65KRH X BSTQ,0
EK65KRH X FM3X,0
EK65KRH X K6QO,0
EK65KRH X QBOL,1
EK65KRH X JWFN,0
EK65KRH X JZ9D,0
EK65KRH X J9JW,0
EK65KRH X GHYX,0
EK65KRH X ECY3,0
M3N7TLU X P5DA,0
M3N7TLU X RIBP,0
M3N7TLU X 8NN1,0
M3N7TLU X 7POT,0
M3N7TLU X 66FJ,0
M3N7TLU X GYSR,0
M3N7TLU X SOP4,0
M3N7TLU X RVSZ,1
M3N7TLU X PYUQ,0
M3N7TLU X LJR9,0
M3N7TLU X N2MW,0
M3N7TLU X AHXO,0
M3N7TLU X BSTQ,0
M3N7TLU X FM3X,0
M3N7TLU X K6QO,0
M3N7TLU X QBOL,0
M3N7TLU X JWFN,0
M3N7TLU X JZ9D,0
M3N7TLU X J9JW,0
M3N7TLU X GHYX,0
M3N7TLU X ECY3,0
QAC6HOX X P5DA,0
QAC6HOX X RIBP,0
QAC6HOX X 8NN1,0
QAC6HOX X 7POT,0
QAC6HOX X 66FJ,0
QAC6HOX X GYSR,0
QAC6HOX X SOP4,0
QAC6HOX X RVSZ,1
QAC6HOX X PYUQ,0
QAC6HOX X LJR9,0
QAC6HOX X N2MW,0
QAC6HOX X AHXO,0
QAC6HOX X BSTQ,0
QAC6HOX X FM3X,0
QAC6HOX X K6QO,0
QAC6HOX X QBOL,0
QAC6HOX X JWFN,0
QAC6HOX X JZ9D,0
QAC6HOX X J9JW,0
QAC6HOX X GHYX,0
QAC6HOX X ECY3,0
T8B9JK0 X P5DA,0
T8B9JK0 X RIBP,0
T8B9JK0 X 8NN1,0
T8B9JK0 X 7POT,0
T8B9JK0 X 66FJ,0
T8B9JK0 X GYSR,0
T8B9JK0 X SOP4,0
T8B9JK0 X RVSZ,1
T8B9JK0 X PYUQ,0
T8B9JK0 X LJR9,0
T8B9JK0 X N2MW,0
T8B9JK0 X AHXO,0
T8B9JK0 X BSTQ,0
T8B9JK0 X FM3X,0
T8B9JK0 X K6QO,0
T8B9JK0 X QBOL,0
T8B9JK0 X JWFN,0
T8B9JK0 X JZ9D,0
T8B9JK0 X J9JW,0
T8B9JK0 X GHYX,0
T8B9JK0 X ECY3,0
62M79HM X P5DA,0
62M79HM X RIBP,0
62M79HM X 8NN1,0
62M79HM X 7POT,0
62M79HM X 66FJ,0
62M79HM X GYSR,0
62M79HM X SOP4,0
62M79HM X RVSZ,0
62M79HM X PYUQ,0
62M79HM X LJR9,0
62M79HM X N2MW,0
62M79HM X AHXO,0
62M79HM X BSTQ,0
62M79HM X FM3X,0
62M79HM X K6QO,1
62M79HM X QBOL,0
62M79HM X JWFN,0
62M79HM X JZ9D,0
62M79HM X J9JW,0
62M79HM X GHYX,0
62M79HM X ECY3,0
VIFSSA7 X P5DA,0
VIFSSA7 X RIBP,0
VIFSSA7 X 8NN1,0
VIFSSA7 X 7POT,0
VIFSSA7 X 66FJ,0
VIFSSA7 X GYSR,0
VIFSSA7 X SOP4,0
VIFSSA7 X RVSZ,0
VIFSSA7 X PYUQ,0
VIFSSA7 X LJR9,0
VIFSSA7 X N2MW,0
VIFSSA7 X AHXO,0
VIFSSA7 X BSTQ,0
VIFSSA7 X FM3X,0
VIFSSA7 X K6QO,1
VIFSSA7 X QBOL,0
VIFSSA7 X JWFN,0
VIFSSA7 X JZ9D,0
VIFSSA7 X J9JW,0
VIFSSA7 X GHYX,0
VIFSSA7 X ECY3,1
I8ONWLM X P5DA,0
I8ONWLM X RIBP,0
I8ONWLM X 8NN1,0
I8ONWLM X 7POT,0
I8ONWLM X 66FJ,0
I8ONWLM X GYSR,0
I8ONWLM X SOP4,0
I8ONWLM X RVSZ,1
I8ONWLM X PYUQ,0
I8ONWLM X LJR9,0
I8ONWLM X N2MW,0
I8ONWLM X AHXO,0
I8ONWLM X BSTQ,0
I8ONWLM X FM3X,0
I8ONWLM X K6QO,0
I8ONWLM X QBOL,0
I8ONWLM X JWFN,0
I8ONWLM X JZ9D,0
I8ONWLM X J9JW,0
I8ONWLM X GHYX,0
I8ONWLM X ECY3,0
B0FID1U X P5DA,0
B0FID1U X RIBP,1
B0FID1U X 8NN1,0
B0FID1U X 7POT,0
B0FID1U X 66FJ,0
B0FID1U X GYSR,0
B0FID1U X SOP4,0
B0FID1U X RVSZ,0
B0FID1U X PYUQ,0
B0FID1U X LJR9,0
B0FID1U X N2MW,0
B0FID1U X AHXO,0
B0FID1U X BSTQ,0
B0FID1U X FM3X,0
B0FID1U X K6QO,0
B0FID1U X QBOL,0
B0FID1U X JWFN,0
B0FID1U X JZ9D,0
B0FID1U X J9JW,0
B0FID1U X GHYX,0
B0FID1U X ECY3,0
ZHVYJ0A X P5DA,0
ZHVYJ0A X RIBP,0
ZHVYJ0A X 8NN1,0
ZHVYJ0A X 7POT,0
ZHVYJ0A X 66FJ,0
ZHVYJ0A X GYSR,0
ZHVYJ0A X SOP4,0
ZHVYJ0A X RVSZ,1
ZHVYJ0A X PYUQ,0
ZHVYJ0A X LJR9,0
ZHVYJ0A X N2MW,0
ZHVYJ0A X AHXO,0
ZHVYJ0A X BSTQ,0
ZHVYJ0A X FM3X,0
ZHVYJ0A X K6QO,0
ZHVYJ0A X QBOL,1
ZHVYJ0A X JWFN,0
ZHVYJ0A X JZ9D,0
ZHVYJ0A X J9JW,0
ZHVYJ0A X GHYX,0
ZHVYJ0A X ECY3,0
1IWADO4 X P5DA,0
1IWADO4 X RIBP,0
1IWADO4 X 8NN1,0
1IWADO4 X 7POT,0
1IWADO4 X 66FJ,1
1IWADO4 X GYSR,0
1IWADO4 X SOP4,0
1IWADO4 X RVSZ,0
1IWADO4 X PYUQ,0
1IWADO4 X LJR9,0
1IWADO4 X N2MW,0
1IWADO4 X AHXO,0
1IWADO4 X BSTQ,0
1IWADO4 X FM3X,0
1IWADO4 X K6QO,0
1IWADO4 X QBOL,0
1IWADO4 X JWFN,0
1IWADO4 X JZ9D,0
1IWADO4 X J9JW,0
1IWADO4 X GHYX,0
1IWADO4 X ECY3,0
2PAL7JV X P5DA,0
2PAL7JV X RIBP,0
2PAL7JV X 8NN1,0
2PAL7JV X 7POT,0
2PAL7JV X 66FJ,1
2PAL7JV X GYSR,0
2PAL7JV X SOP4,0
2PAL7JV X RVSZ,0
2PAL7JV X PYUQ,0
2PAL7JV X LJR9,0
2PAL7JV X N2MW,0
2PAL7JV X AHXO,0
2PAL7JV X BSTQ,0
2PAL7JV X FM3X,0
2PAL7JV X K6QO,0
2PAL7JV X QBOL,0
2PAL7JV X JWFN,0
2PAL7JV X JZ9D,0
2PAL7JV X J9JW,0
2PAL7JV X GHYX,0
2PAL7JV X ECY3,0
29RYY4N X P5DA,0
29RYY4N X RIBP,0
29RYY4N X 8NN1,0
29RYY4N X 7POT,0
29RYY4N X 66FJ,0
29RYY4N X GYSR,0
29RYY4N X SOP4,0
29RYY4N X RVSZ,1
29RYY4N X PYUQ,0
29RYY4N X LJR9,0
29RYY4N X N2MW,0
29RYY4N X AHXO,0
29RYY4N X BSTQ,0
29RYY4N X FM3X,0
29RYY4N X K6QO,0
29RYY4N X QBOL,0
29RYY4N X JWFN,0
29RYY4N X JZ9D,0
29RYY4N X J9JW,0
29RYY4N X GHYX,0
29RYY4N X ECY3,0
X9NBDB4 X P5DA,0
X9NBDB4 X RIBP,0
X9NBDB4 X 8NN1,0
X9NBDB4 X 7POT,0
X9NBDB4 X 66FJ,0
X9NBDB4 X GYSR,0
X9NBDB4 X SOP4,0
X9NBDB4 X RVSZ,1
X9NBDB4 X PYUQ,0
X9NBDB4 X LJR9,0
X9NBDB4 X N2MW,0
X9NBDB4 X AHXO,0
X9NBDB4 X BSTQ,0
X9NBDB4 X FM3X,0
X9NBDB4 X K6QO,0
X9NBDB4 X QBOL,1
X9NBDB4 X JWFN,0
X9NBDB4 X JZ9D,0
X9NBDB4 X J9JW,0
X9NBDB4 X GHYX,0
X9NBDB4 X ECY3,0
UITK6GR X P5DA,0
UITK6GR X RIBP,0
UITK6GR X 8NN1,0
UITK6GR X 7POT,0
UITK6GR X 66FJ,0
UITK6GR X GYSR,0
UITK6GR X SOP4,0
UITK6GR X RVSZ,0
UITK6GR X PYUQ,0
UITK6GR X LJR9,0
UITK6GR X N2MW,0
UITK6GR X AHXO,0
UITK6GR X BSTQ,0
UITK6GR X FM3X,0
UITK6GR X K6QO,1
UITK6GR X QBOL,0
UITK6GR X JWFN,0
UITK6GR X JZ9D,0
UITK6GR X J9JW,0
UITK6GR X GHYX,0
UITK6GR X ECY3,0
JONQI5H X P5DA,0
JONQI5H X RIBP,1
JONQI5H X 8NN1,0
JONQI5H X 7POT,0
JONQI5H X 66FJ,0
JONQI5H X GYSR,0
JONQI5H X SOP4,0
JONQI5H X RVSZ,0
JONQI5H X PYUQ,0
JONQI5H X LJR9,0
JONQI5H X N2MW,0
JONQI5H X AHXO,1
JONQI5H X BSTQ,0
JONQI5H X FM3X,0
JONQI5H X K6QO,0
JONQI5H X QBOL,0
JONQI5H X JWFN,0
JONQI5H X JZ9D,0
JONQI5H X J9JW,0
JONQI5H X GHYX,0
JONQI5H X ECY3,0
ZV7EC7L X P5DA,0
ZV7EC7L X RIBP,0
ZV7EC7L X 8NN1,0
ZV7EC7L X 7POT,0
ZV7EC7L X 66FJ,0
ZV7EC7L X GYSR,0
ZV7EC7L X SOP4,0
ZV7EC7L X RVSZ,1
ZV7EC7L X PYUQ,0
ZV7EC7L X LJR9,0
ZV7EC7L X N2MW,0
ZV7EC7L X AHXO,0
ZV7EC7L X BSTQ,0
ZV7EC7L X FM3X,0
ZV7EC7L X K6QO,0
ZV7EC7L X QBOL,0
ZV7EC7L X JWFN,0
ZV7EC7L X JZ9D,0
ZV7EC7L X J9JW,0
ZV7EC7L X GHYX,0
ZV7EC7L X ECY3,0
BWT1QRH X P5DA,0
BWT1QRH X RIBP,0
BWT1QRH X 8NN1,0
BWT1QRH X 7POT,0
BWT1QRH X 66FJ,0
BWT1QRH X GYSR,0
BWT1QRH X SOP4,0
BWT1QRH X RVSZ,0
BWT1QRH X PYUQ,0
BWT1QRH X LJR9,0
BWT1QRH X N2MW,0
BWT1QRH X AHXO,0
BWT1QRH X BSTQ,0
BWT1QRH X FM3X,0
BWT1QRH X K6QO,1
BWT1QRH X QBOL,1
BWT1QRH X JWFN,0
BWT1QRH X JZ9D,0
BWT1QRH X J9JW,0
BWT1QRH X GHYX,0
BWT1QRH X ECY3,0
C285E9K X P5DA,0
C285E9K X RIBP,0
C285E9K X 8NN1,0
C285E9K X 7POT,0
C285E9K X 66FJ,0
C285E9K X GYSR,0
C285E9K X SOP4,0
C285E9K X RVSZ,0
C285E9K X PYUQ,0
C285E9K X LJR9,0
C285E9K X N2MW,0
C285E9K X AHXO,0
C285E9K X BSTQ,0
C285E9K X FM3X,0
C285E9K X K6QO,0
C285E9K X QBOL,0
C285E9K X JWFN,0
C285E9K X JZ9D,1
C285E9K X J9JW,1
C285E9K X GHYX,0
C285E9K X ECY3,0
BZH5P4P X P5DA,0
BZH5P4P X RIBP,0
BZH5P4P X 8NN1,0
BZH5P4P X 7POT,0
BZH5P4P X 66FJ,0
BZH5P4P X GYSR,0
BZH5P4P X SOP4,0
BZH5P4P X RVSZ,0
BZH5P4P X PYUQ,0
BZH5P4P X LJR9,0
BZH5P4P X N2MW,0
BZH5P4P X AHXO,0
BZH5P4P X BSTQ,0
BZH5P4P X FM3X,0
BZH5P4P X K6QO,1
BZH5P4P X QBOL,0
BZH5P4P X JWFN,0
BZH5P4P X JZ9D,0
BZH5P4P X J9JW,0
BZH5P4P X GHYX,0
BZH5P4P X ECY3,0
2OQOFQT X P5DA,0
2OQOFQT X RIBP,0
2OQOFQT X 8NN1,0
2OQOFQT X 7POT,0
2OQOFQT X 66FJ,0
2OQOFQT X GYSR,0
2OQOFQT X SOP4,0
2OQOFQT X RVSZ,0
2OQOFQT X PYUQ,0
2OQOFQT X LJR9,0
2OQOFQT X N2MW,0
2OQOFQT X AHXO,0
2OQOFQT X BSTQ,0
2OQOFQT X FM3X,0
2OQOFQT X K6QO,1
2OQOFQT X QBOL,0
2OQOFQT X JWFN,0
2OQOFQT X JZ9D,0
2OQOFQT X J9JW,0
2OQOFQT X GHYX,0
2OQOFQT X ECY3,0
I58UV5Q X P5DA,0
I58UV5Q X RIBP,0
I58UV5Q X 8NN1,0
I58UV5Q X 7POT,0
I58UV5Q X 66FJ,0
I58UV5Q X GYSR,0
I58UV5Q X SOP4,0
I58UV5Q X RVSZ,1
I58UV5Q X PYUQ,0
I58UV5Q X LJR9,0
I58UV5Q X N2MW,0
I58UV5Q X AHXO,0
I58UV5Q X BSTQ,0
I58UV5Q X FM3X,0
I58UV5Q X K6QO,0
I58UV5Q X QBOL,0
I58UV5Q X JWFN,0
I58UV5Q X JZ9D,0
I58UV5Q X J9JW,0
I58UV5Q X GHYX,1
I58UV5Q X ECY3,0
XGUUGI1 X P5DA,0
XGUUGI1 X RIBP,0
XGUUGI1 X 8NN1,0
XGUUGI1 X 7POT,0
XGUUGI1 X 66FJ,0
XGUUGI1 X GYSR,0
XGUUGI1 X SOP4,0
XGUUGI1 X RVSZ,1
XGUUGI1 X PYUQ,0
XGUUGI1 X LJR9,0
XGUUGI1 X N2MW,0
XGUUGI1 X AHXO,0
XGUUGI1 X BSTQ,0
XGUUGI1 X FM3X,0
XGUUGI1 X K6QO,0
XGUUGI1 X QBOL,1
XGUUGI1 X JWFN,0
XGUUGI1 X JZ9D,0
XGUUGI1 X J9JW,0
XGUUGI1 X GHYX,1
XGUUGI1 X ECY3,0
EMVH2HP X P5DA,0
EMVH2HP X RIBP,1
EMVH2HP X 8NN1,0
EMVH2HP X 7POT,0
EMVH2HP X 66FJ,0
EMVH2HP X GYSR,0
EMVH2HP X SOP4,0
EMVH2HP X RVSZ,0
EMVH2HP X PYUQ,0
EMVH2HP X LJR9,0
EMVH2HP X N2MW,0
EMVH2HP X AHXO,0
EMVH2HP X BSTQ,0
EMVH2HP X FM3X,0
EMVH2HP X K6QO,0
EMVH2HP X QBOL,0
EMVH2HP X JWFN,0
EMVH2HP X JZ9D,0
EMVH2HP X J9JW,0
EMVH2HP X GHYX,0
EMVH2HP X ECY3,0
W019HSR X P5DA,0
W019HSR X RIBP,0
W019HSR X 8NN1,0
W019HSR X 7POT,0
W019HSR X 66FJ,0
W019HSR X GYSR,0
W019HSR X SOP4,0
W019HSR X RVSZ,1
W019HSR X PYUQ,0
W019HSR X LJR9,0
W019HSR X N2MW,0
W019HSR X AHXO,0
W019HSR X BSTQ,0
W019HSR X FM3X,0
W019HSR X K6QO,0
W019HSR X QBOL,0
W019HSR X JWFN,0
W019HSR X JZ9D,0
W019HSR X J9JW,0
W019HSR X GHYX,0
W019HSR X ECY3,0
7J868QB X P5DA,0
7J868QB X RIBP,0
7J868QB X 8NN1,0
7J868QB X 7POT,0
7J868QB X 66FJ,0
7J868QB X GYSR,0
7J868QB X SOP4,0
7J868QB X RVSZ,0
7J868QB X PYUQ,0
7J868QB X LJR9,0
7J868QB X N2MW,0
7J868QB X AHXO,0
7J868QB X BSTQ,0
7J868QB X FM3X,0
7J868QB X K6QO,1
7J868QB X QBOL,0
7J868QB X JWFN,0
7J868QB X JZ9D,0
7J868QB X J9JW,0
7J868QB X GHYX,0
7J868QB X ECY3,0
DSYNYH6 X P5DA,0
DSYNYH6 X RIBP,0
DSYNYH6 X 8NN1,0
DSYNYH6 X 7POT,0
DSYNYH6 X 66FJ,0
DSYNYH6 X GYSR,0
DSYNYH6 X SOP4,0
DSYNYH6 X RVSZ,1
DSYNYH6 X PYUQ,0
DSYNYH6 X LJR9,0
DSYNYH6 X N2MW,0
DSYNYH6 X AHXO,0
DSYNYH6 X BSTQ,0
DSYNYH6 X FM3X,0
DSYNYH6 X K6QO,0
DSYNYH6 X QBOL,0
DSYNYH6 X JWFN,0
DSYNYH6 X JZ9D,0
DSYNYH6 X J9JW,0
DSYNYH6 X GHYX,0
DSYNYH6 X ECY3,0
GB16H1Y X P5DA,0
GB16H1Y X RIBP,0
GB16H1Y X 8NN1,0
GB16H1Y X 7POT,0
GB16H1Y X 66FJ,0
GB16H1Y X GYSR,0
GB16H1Y X SOP4,0
GB16H1Y X RVSZ,0
GB16H1Y X PYUQ,0
GB16H1Y X LJR9,0
GB16H1Y X N2MW,0
GB16H1Y X AHXO,0
GB16H1Y X BSTQ,0
GB16H1Y X FM3X,0
GB16H1Y X K6QO,1
GB16H1Y X QBOL,0
GB16H1Y X JWFN,0
GB16H1Y X JZ9D,0
GB16H1Y X J9JW,0
GB16H1Y X GHYX,0
GB16H1Y X ECY3,0
Z2B00YJ X P5DA,0
Z2B00YJ X RIBP,1
Z2B00YJ X 8NN1,0
Z2B00YJ X 7POT,0
Z2B00YJ X 66FJ,0
Z2B00YJ X GYSR,0
Z2B00YJ X SOP4,0
Z2B00YJ X RVSZ,1
Z2B00YJ X PYUQ,0
Z2B00YJ X LJR9,0
Z2B00YJ X N2MW,0
Z2B00YJ X AHXO,0
Z2B00YJ X BSTQ,0
Z2B00YJ X FM3X,0
Z2B00YJ X K6QO,0
Z2B00YJ X QBOL,0
Z2B00YJ X JWFN,0
Z2B00YJ X JZ9D,0
Z2B00YJ X J9JW,0
Z2B00YJ X GHYX,0
Z2B00YJ X ECY3,0
HLVUKNT X P5DA,0
HLVUKNT X RIBP,0
HLVUKNT X 8NN1,0
HLVUKNT X 7POT,0
HLVUKNT X 66FJ,0
HLVUKNT X GYSR,0
HLVUKNT X SOP4,0
HLVUKNT X RVSZ,0
HLVUKNT X PYUQ,0
HLVUKNT X LJR9,0
HLVUKNT X N2MW,0
HLVUKNT X AHXO,0
HLVUKNT X BSTQ,0
HLVUKNT X FM3X,0
HLVUKNT X K6QO,1
HLVUKNT X QBOL,0
HLVUKNT X JWFN,0
HLVUKNT X JZ9D,0
HLVUKNT X J9JW,0
HLVUKNT X GHYX,0
HLVUKNT X ECY3,0
F5SDCA2 X P5DA,0
F5SDCA2 X RIBP,0
F5SDCA2 X 8NN1,0
F5SDCA2 X 7POT,0
F5SDCA2 X 66FJ,0
F5SDCA2 X GYSR,0
F5SDCA2 X SOP4,0
F5SDCA2 X RVSZ,0
F5SDCA2 X PYUQ,0
F5SDCA2 X LJR9,0
F5SDCA2 X N2MW,0
F5SDCA2 X AHXO,0
F5SDCA2 X BSTQ,0
F5SDCA2 X FM3X,0
F5SDCA2 X K6QO,1
F5SDCA2 X QBOL,0
F5SDCA2 X JWFN,0
F5SDCA2 X JZ9D,0
F5SDCA2 X J9JW,0
F5SDCA2 X GHYX,0
F5SDCA2 X ECY3,0
E71I179 X P5DA,0
E71I179 X RIBP,0
E71I179 X 8NN1,0
E71I179 X 7POT,0
E71I179 X 66FJ,0
E71I179 X GYSR,0
E71I179 X SOP4,0
E71I179 X RVSZ,1
E71I179 X PYUQ,0
E71I179 X LJR9,0
E71I179 X N2MW,0
E71I179 X AHXO,0
E71I179 X BSTQ,0
E71I179 X FM3X,0
E71I179 X K6QO,0
E71I179 X QBOL,0
E71I179 X JWFN,0
E71I179 X JZ9D,0
E71I179 X J9JW,0
E71I179 X GHYX,0
E71I179 X ECY3,0
FRXT1NR X P5DA,0
FRXT1NR X RIBP,0
FRXT1NR X 8NN1,0
FRXT1NR X 7POT,0
FRXT1NR X 66FJ,0
FRXT1NR X GYSR,0
FRXT1NR X SOP4,0
FRXT1NR X RVSZ,0
FRXT1NR X PYUQ,0
FRXT1NR X LJR9,0
FRXT1NR X N2MW,0
FRXT1NR X AHXO,0
FRXT1NR X BSTQ,0
FRXT1NR X FM3X,0
FRXT1NR X K6QO,1
FRXT1NR X QBOL,0
FRXT1NR X JWFN,0
FRXT1NR X JZ9D,0
FRXT1NR X J9JW,0
FRXT1NR X GHYX,0
FRXT1NR X ECY3,0
C1ESAII X P5DA,0
C1ESAII X RIBP,0
C1ESAII X 8NN1,0
C1ESAII X 7POT,0
C1ESAII X 66FJ,0
C1ESAII X GYSR,0
C1ESAII X SOP4,0
C1ESAII X RVSZ,0
C1ESAII X PYUQ,0
C1ESAII X LJR9,0
C1ESAII X N2MW,0
C1ESAII X AHXO,0
C1ESAII X BSTQ,0
C1ESAII X FM3X,0
C1ESAII X K6QO,1
C1ESAII X QBOL,0
C1ESAII X JWFN,0
C1ESAII X JZ9D,0
C1ESAII X J9JW,0
C1ESAII X GHYX,0
C1ESAII X ECY3,0
SREJ35I X P5DA,0
SREJ35I X RIBP,0
SREJ35I X 8NN1,0
SREJ35I X 7POT,0
SREJ35I X 66FJ,0
SREJ35I X GYSR,0
SREJ35I X SOP4,0
SREJ35I X RVSZ,0
SREJ35I X PYUQ,0
SREJ35I X LJR9,0
SREJ35I X N2MW,0
SREJ35I X AHXO,0
SREJ35I X BSTQ,0
SREJ35I X FM3X,0
SREJ35I X K6QO,0
SREJ35I X QBOL,0
SREJ35I X JWFN,0
SREJ35I X JZ9D,0
SREJ35I X J9JW,1
SREJ35I X GHYX,0
SREJ35I X ECY3,0
CVSALUL X P5DA,0
CVSALUL X RIBP,0
CVSALUL X 8NN1,0
CVSALUL X 7POT,0
CVSALUL X 66FJ,0
CVSALUL X GYSR,0
CVSALUL X SOP4,0
CVSALUL X RVSZ,1
CVSALUL X PYUQ,0
CVSALUL X LJR9,0
CVSALUL X N2MW,0
CVSALUL X AHXO,0
CVSALUL X BSTQ,0
CVSALUL X FM3X,0
CVSALUL X K6QO,0
CVSALUL X QBOL,0
CVSALUL X JWFN,0
CVSALUL X JZ9D,0
CVSALUL X J9JW,0
CVSALUL X GHYX,0
CVSALUL X ECY3,0
4YK8AHG X P5DA,0
4YK8AHG X RIBP,0
4YK8AHG X 8NN1,0
4YK8AHG X 7POT,0
4YK8AHG X 66FJ,0
4YK8AHG X GYSR,0
4YK8AHG X SOP4,0
4YK8AHG X RVSZ,0
4YK8AHG X PYUQ,0
4YK8AHG X LJR9,0
4YK8AHG X N2MW,0
4YK8AHG X AHXO,0
4YK8AHG X BSTQ,0
4YK8AHG X FM3X,0
4YK8AHG X K6QO,1
4YK8AHG X QBOL,0
4YK8AHG X JWFN,0
4YK8AHG X JZ9D,0
4YK8AHG X J9JW,0
4YK8AHG X GHYX,0
4YK8AHG X ECY3,0
V1D1V61 X P5DA,0
V1D1V61 X RIBP,0
V1D1V61 X 8NN1,0
V1D1V61 X 7POT,0
V1D1V61 X 66FJ,0
V1D1V61 X GYSR,0
V1D1V61 X SOP4,0
V1D1V61 X RVSZ,0
V1D1V61 X PYUQ,0
V1D1V61 X LJR9,0
V1D1V61 X N2MW,1
V1D1V61 X AHXO,0
V1D1V61 X BSTQ,0
V1D1V61 X FM3X,0
V1D1V61 X K6QO,1
V1D1V61 X QBOL,1
V1D1V61 X JWFN,0
V1D1V61 X JZ9D,0
V1D1V61 X J9JW,0
V1D1V61 X GHYX,0
V1D1V61 X ECY3,0
OFTTFVA X P5DA,0
OFTTFVA X RIBP,0
OFTTFVA X 8NN1,0
OFTTFVA X 7POT,0
OFTTFVA X 66FJ,0
OFTTFVA X GYSR,0
OFTTFVA X SOP4,0
OFTTFVA X RVSZ,0
OFTTFVA X PYUQ,0
OFTTFVA X LJR9,0
OFTTFVA X N2MW,0
OFTTFVA X AHXO,0
OFTTFVA X BSTQ,0
OFTTFVA X FM3X,0
OFTTFVA X K6QO,0
OFTTFVA X QBOL,1
OFTTFVA X JWFN,0
OFTTFVA X JZ9D,0
OFTTFVA X J9JW,0
OFTTFVA X GHYX,0
OFTTFVA X ECY3,0
ZP4XRXH X P5DA,0
ZP4XRXH X RIBP,1
ZP4XRXH X 8NN1,0
ZP4XRXH X 7POT,0
ZP4XRXH X 66FJ,0
ZP4XRXH X GYSR,0
ZP4XRXH X SOP4,0
ZP4XRXH X RVSZ,0
ZP4XRXH X PYUQ,0
ZP4XRXH X LJR9,0
ZP4XRXH X N2MW,0
ZP4XRXH X AHXO,0
ZP4XRXH X BSTQ,0
ZP4XRXH X FM3X,0
ZP4XRXH X K6QO,0
ZP4XRXH X QBOL,0
ZP4XRXH X JWFN,0
ZP4XRXH X JZ9D,0
ZP4XRXH X J9JW,0
